Date,DABUR.NS
2024-01-01,546.7333374023438
2024-01-02,546.1448974609375
2024-01-03,540.5054321289062
2024-01-04,555.3641967773438
2024-01-05,558.1102905273438
2024-01-08,542.6140747070312
2024-01-09,537.3179321289062
2024-01-10,536.8275756835938
2024-01-11,541.3881225585938
2024-01-12,539.13232421875
2024-01-15,543.496826171875
2024-01-16,548.0574340820312
2024-01-17,538.8871459960938
2024-01-18,529.0794067382812
2024-01-19,531.8745727539062
2024-01-23,514.7110595703125
2024-01-24,526.2841796875
2024-01-25,521.3802490234375
2024-01-29,523.9793701171875
2024-01-30,525.6466674804688
2024-01-31,529.2265014648438
2024-02-01,543.7420043945312
2024-02-02,534.179443359375
2024-02-05,523.3909301757812
2024-02-06,522.4591674804688
2024-02-07,527.0687866210938
2024-02-08,523.6851196289062
2024-02-09,528.834228515625
2024-02-12,526.235107421875
2024-02-13,528.392822265625
2024-02-14,533.836181640625
2024-02-15,533.7380981445312
2024-02-16,534.0322875976562
2024-02-19,537.121826171875
2024-02-20,537.023681640625
2024-02-21,535.7977294921875
2024-02-22,531.18798828125
2024-02-23,525.0092163085938
2024-02-26,519.0755004882812
2024-02-27,525.3034057617188
2024-02-28,525.94091796875
2024-02-29,527.8043823242188
2024-03-01,530.6976318359375
2024-03-04,526.9707641601562
2024-03-05,524.4697875976562
2024-03-06,521.2822265625
2024-03-07,524.9601440429688
2024-03-11,523.1456909179688
2024-03-12,518.830322265625
2024-03-13,509.9542541503906
2024-03-14,519.4678344726562
2024-03-15,516.4273681640625
2024-03-18,513.5340576171875
2024-03-19,508.385009765625
2024-03-20,510.19952392578125
2024-03-21,513.8773803710938
2024-03-22,510.7879638671875
2024-03-26,511.0821533203125
2024-03-27,511.6216125488281
2024-03-28,513.0927734375
2024-04-01,518.9774169921875
2024-04-02,521.3802490234375
2024-04-03,520.7918090820312
2024-04-04,496.32147216796875
2024-04-05,498.13592529296875
2024-04-08,493.379150390625
2024-04-09,493.4772644042969
2024-04-10,496.51763916015625
2024-04-12,490.97625732421875
2024-04-15,485.68011474609375
2024-04-16,494.21282958984375
2024-04-18,494.1637878417969
2024-04-19,494.507080078125
2024-04-22,496.4195556640625
2024-04-23,497.4003601074219
2024-04-24,499.6561279296875
2024-04-25,496.7138366699219
2024-04-26,499.2147521972656
2024-04-29,496.9590148925781
2024-04-30,497.9888000488281
2024-05-02,515.201416015625
2024-05-03,521.5274658203125
2024-05-06,520.595703125
2024-05-07,547.714111328125
2024-05-08,545.899658203125
2024-05-09,542.1727905273438
2024-05-10,540.2112426757812
2024-05-13,539.6718139648438
2024-05-14,543.8890991210938
2024-05-15,535.3563232421875
2024-05-16,531.62939453125
2024-05-17,525.4995727539062
2024-05-21,528.9813232421875
2024-05-22,543.3496704101562
2024-05-23,549.185302734375
2024-05-24,547.3707885742188
2024-05-27,556.4920654296875
2024-05-28,559.8267211914062
2024-05-29,544.7717895507812
2024-05-30,540.5545043945312
2024-05-31,534.6207885742188
2024-06-03,534.3265991210938
2024-06-04,567.08447265625
2024-06-05,588.7105102539062
2024-06-06,585.71923828125
2024-06-07,601.3135375976562
2024-06-10,607.9337768554688
2024-06-11,601.6567993164062
2024-06-12,607.5904541015625
2024-06-13,597.9298706054688
2024-06-14,596.9490966796875
2024-06-18,588.6615600585938
2024-06-19,587.043212890625
2024-06-20,589.2009887695312
2024-06-21,578.6085205078125
2024-06-24,588.2201538085938
2024-06-25,581.9432373046875
2024-06-26,590.2307739257812
2024-06-27,587.77880859375
2024-06-28,589.1519165039062
2024-07-01,599.204833984375
2024-07-02,591.2115478515625
2024-07-03,597.9788818359375
2024-07-04,594.3009643554688
2024-07-05,594.7913208007812
2024-07-08,611.4644775390625
2024-07-09,618.0848388671875
2024-07-10,619.5559692382812
2024-07-11,617.2510986328125
2024-07-12,617.8886108398438
2024-07-15,620.2424926757812
2024-07-16,628.6281127929688
2024-07-18,632.453125
2024-07-19,623.391357421875
2024-07-22,627.0850219726562
2024-07-23,642.4998779296875
2024-07-24,624.6226196289062
2024-07-25,621.7169189453125
2024-07-26,622.9481201171875
2024-07-29,631.4681396484375
2024-07-30,624.3763427734375
2024-07-31,626.1492919921875
2024-08-01,633.8320922851562
2024-08-02,618.1217041015625
2024-08-05,624.4747924804688
2024-08-06,619.6976928710938
2024-08-07,629.6459350585938
2024-08-08,627.8729858398438
2024-08-09,614.5758056640625
2024-08-12,611.0298461914062
2024-08-13,596.7476806640625
2024-08-14,595.3195190429688
2024-08-16,608.3212280273438
2024-08-19,611.9656372070312
2024-08-20,613.7385864257812
2024-08-21,624.8195190429688
2024-08-22,636.4423217773438
2024-08-23,633.5858154296875
2024-08-26,644.716064453125
2024-08-27,633.733642578125
2024-08-28,634.7185668945312
2024-08-29,634.4723510742188
2024-08-30,627.5775146484375
2024-09-02,627.0850219726562
2024-09-03,628.6117553710938
2024-09-04,640.28369140625
2024-09-05,635.112548828125
2024-09-06,634.7185668945312
2024-09-09,652.3988647460938
2024-09-10,655.2553100585938
2024-09-11,653.9256591796875
2024-09-12,654.7628784179688
2024-09-13,650.970703125
2024-09-16,651.4138793945312
2024-09-17,650.2319946289062
2024-09-18,644.568359375
2024-09-19,654.713623046875
2024-09-20,657.520751953125
2024-09-23,651.1184692382812
2024-09-24,645.99658203125
2024-09-25,617.5799560546875
2024-09-26,616.3488159179688
2024-09-27,623.4898681640625
2024-09-30,615.8070678710938
2024-10-01,609.7001953125
2024-10-03,571.4830932617188
2024-10-04,563.8495483398438
2024-10-07,560.8453979492188
2024-10-08,558.826171875
